S.no.,Name of the show,Year of release,No of seasons available,Language,Genre,IMDb rating,Age of viewers
746,The Incredible Hulk,2008,1,English,Action,6.7,13+
747,Thor: Ragnarok,2017,1,English,Action,7.9,13+
748,Black Widow,2021,1,English,Action,6.8,13+
749,The Mandalorian,2019,1,English,Sci-Fi,8.8,All
750,Guardians of the Galaxy,2014,1,English,Action,8.0,13+
751,Iron Man 3,2013,1,English,Action,7.1,13+
752,The Dark Knight,2008,1,English,Action,9.0,13+
753,Inception,2010,1,English,Sci-Fi,8.8,13+
754,Star Wars: The Force Awakens,2015,1,English,Action,7.8,13+
755,Star Wars: The Last Jedi,2017,1,English,Action,6.9,13+
756,Star Wars: The Rise of Skywalker,2019,1,English,Action,6.5,13+
757,Avengers: Endgame,2019,1,English,Action,8.4,13+
758,Avengers: Infinity War,2018,1,English,Action,8.4,13+
759,Guardians of the Galaxy Vol. 2,2017,1,English,Action,7.6,13+
760,Guardians of the Galaxy Vol. 3,2023,1,English,Action,8.0,13+
761,Spider-Man: No Way Home,2021,1,English,Action,8.3,13+
762,Spider-Man: Far From Home,2019,1,English,Action,7.5,13+
763,Black Panther,2018,1,English,Action,7.3,13+
764,Captain Marvel,2019,1,English,Action,6.8,13+
765,Doctor Strange,2016,1,English,Action,7.5,13+
766,Thor: Ragnarok,2017,1,English,Action,7.9,13+
767,Thor: Love and Thunder,2022,1,English,Action,6.3,13+
768,Deadpool,2016,1,English,Action,8.0,18+
769,Deadpool 2,2018,1,English,Action,7.7,18+
770,Captain America: Civil War,2016,1,English,Action,7.8,13+
771,Captain America: The Winter Soldier,2014,1,English,Action,7.8,13+
772,Captain America: The First Avenger,2011,1,English,Action,6.9,13+
773,Ant-Man,2015,1,English,Action,7.3,13+
774,Ant-Man and The Wasp,2018,1,English,Action,7.0,13+
775,Iron Man,2008,1,English,Action,7.9,13+
776,Iron Man 2,2010,1,English,Action,7.0,13+
777,Fantastic Four,2005,1,English,Action,5.7,13+
778,Fantastic Four: Rise of the Silver Surfer,2007,1,English,Action,5.6,13+
779,Fantastic Four,2015,1,English,Action,4.3,13+
780,X-Men,2000,1,English,Action,7.4,13+
781,X2: X-Men United,2003,1,English,Action,7.4,13+
782,X-Men: The Last Stand,2006,1,English,Action,6.7,13+
783,X-Men: First Class,2011,1,English,Action,7.7,13+
784,X-Men: Days of Future Past,2014,1,English,Action,7.9,13+
785,X-Men: Apocalypse,2016,1,English,Action,6.9,13+
786,Logan,2017,1,English,Action,8.1,18+
787,The Wolverine,2013,1,English,Action,6.7,13+
788,Deadpool 2,2018,1,English,Action,7.7,18+
789,The Amazing Spider-Man,2012,1,English,Action,6.9,13+
790,The Amazing Spider-Man 2,2014,1,English,Action,6.6,13+
791,Spider-Man,2002,1,English,Action,7.3,13+
792,Spider-Man 2,2004,1,English,Action,7.3,13+
793,Spider-Man 3,2007,1,English,Action,6.2,13+
794,Batman Begins,2005,1,English,Action,8.2,13+
795,The Dark Knight Rises,2012,1,English,Action,8.4,13+
796,Batman v Superman: Dawn of Justice,2016,1,English,Action,6.4,13+
797,Wonder Woman,2017,1,English,Action,7.4,13+
798,Wonder Woman 1984,2020,1,English,Action,5.4,13+
799,The Suicide Squad,2021,1,English,Action,7.2,18+
800,Suicide Squad,2016,1,English,Action,6.0,13+
801,Aquaman,2018,1,English,Action,6.9,13+
802,Shazam!,2019,1,English,Action,7.0,13+
803,Shazam! Fury of the Gods,2023,1,English,Action,6.1,13+
804,The Flash,2023,1,English,Action,6.9,13+
805,Justice League,2017,1,English,Action,6.2,13+
806,Green Lantern,2011,1,English,Action,5.5,13+
807,Venom,2018,1,English,Action,6.7,13+
808,Venom: Let There Be Carnage,2021,1,English,Action,6.2,13+
809,Shazam,2019,1,English,Action,7.0,13+
810,Spider-Man: Into the Spider-Verse,2018,1,English,Animation,8.4,All
811,Guardians of the Galaxy,2014,1,English,Action,8.0,13+
812,Guardians of the Galaxy Vol. 3,2023,1,English,Action,8.0,13+
813,The Lego Movie,2014,1,English,Animation,7.7,All
814,The Lego Batman Movie,2017,1,English,Animation,7.3,All
815,The Incredibles 2,2018,1,English,Animation,7.6,All
816,Spider-Man: Across the Spider-Verse,2023,1,English,Animation,8.6,All
817,Star Wars: Rogue One,2016,1,English,Action,7.8,13+
818,Star Wars: Solo,2018,1,English,Action,6.9,13+
819,The Mandalorian,2019,1,English,Sci-Fi,8.8,All
820,Avatar: The Way of Water,2022,1,English,Action,7.7,13+
821,Avatar,2009,1,English,Action,7.8,13+
822,Transformers: Revenge of the Fallen,2009,1,English,Action,6.0,13+
823,Transformers: Dark of the Moon,2011,1,English,Action,6.2,13+
824,Transformers: Age of Extinction,2014,1,English,Action,6.0,13+
825,Transformers: The Last Knight,2017,1,English,Action,5.2,13+
826,Furious 7,2015,1,English,Action,7.1,13+
827,Furious 8,2017,1,English,Action,6.6,13+
828,The Fast and the Furious,2001,1,English,Action,6.8,13+
829,2 Fast 2 Furious,2003,1,English,Action,5.9,13+
830,Fast & Furious 6,2013,1,English,Action,7.0,13+
831,Furious 9,2021,1,English,Action,5.2,13+
832,The Fate of the Furious,2017,1,English,Action,6.6,13+
833,Fast X,2023,1,English,Action,5.6,13+
834,Transformers,2007,1,English,Action,7.0,13+
835,The Dark Knight,2008,1,English,Action,9.0,13+
836,The Matrix,1999,1,English,Sci-Fi,8.7,13+
837,The Matrix Reloaded,2003,1,English,Sci-Fi,7.2,13+
838,The Matrix Revolutions,2003,1,English,Sci-Fi,6.8,13+
839,Jurassic World,2015,1,English,Adventure,7.0,13+
840,Jurassic World: Fallen Kingdom,2018,1,English,Adventure,6.2,13+
841,Jurassic World: Dominion,2022,1,English,Adventure,6.0,13+
842,King Kong,2005,1,English,Adventure,7.2,13+
843,Godzilla: King of the Monsters,2019,1,English,Action,6.0,13+
844,Godzilla vs. Kong,2021,1,English,Action,6.3,13+
845,Pacific Rim,2013,1,English,Action,6.9,13+
846,Pacific Rim: Uprising,2018,1,English,Action,5.6,13+
847,Edge of Tomorrow,2014,1,English,Sci-Fi,7.9,13+
848,Interstellar,2014,1,English,Sci-Fi,8.6,13+
849,Looper,2012,1,English,Sci-Fi,6.9,13+
850,Dredd,2012,1,English,Action,7.1,13+
851,Naruto: The Movie,2004,1,Japanese,Animation,7.2,13+
852,Naruto Shippuden: The Movie,2007,1,Japanese,Animation,7.3,13+
853,One Piece Film: Z,2012,1,Japanese,Animation,7.9,13+
854,Dragon Ball Z: Battle of Gods,2013,1,Japanese,Animation,7.1,13+
855,Dragon Ball Z: Resurrection 'F',2015,1,Japanese,Animation,7.0,13+
856,My Neighbor Totoro,1988,1,Japanese,Animation,8.2,All
857,Spirited Away,2001,1,Japanese,Animation,8.6,All
858,Princess Mononoke,1997,1,Japanese,Animation,8.4,13+
859,Howl's Moving Castle,2004,1,Japanese,Animation,8.2,All
860,Kiki's Delivery Service,1989,1,Japanese,Animation,7.9,All
861,Ponyo,2008,1,Japanese,Animation,7.7,All
862,The Wind Rises,2013,1,Japanese,Animation,7.8,All
863,The Tale of the Princess Kaguya,2013,1,Japanese,Animation,8.0,All
864,Your Name,2016,1,Japanese,Animation,8.4,All
865,Weathering With You,2019,1,Japanese,Animation,7.5,All
866,A Silent Voice,2016,1,Japanese,Animation,8.1,All
867,Akira,1988,1,Japanese,Animation,8.0,13+
868,Ghost in the Shell,1995,1,Japanese,Animation,8.0,13+
869,My Hero Academia: Two Heroes,2018,1,Japanese,Animation,7.5,13+
870,My Hero Academia: Heroes Rising,2019,1,Japanese,Animation,7.8,13+
871,Dragon Ball Super: Broly,2018,1,Japanese,Animation,8.1,13+
872,Attack on Titan: The Movie,2015,1,Japanese,Animation,5.4,13+
873,Neon Genesis Evangelion: The End of Evangelion,1997,1,Japanese,Animation,8.5,13+
874,Neon Genesis Evangelion: Death & Rebirth,1997,1,Japanese,Animation,7.4,13+
875,The Secret World of Arrietty,2010,1,Japanese,Animation,7.6,All
876,Mewtwo Strikes Back,1998,1,Japanese,Animation,6.4,All
877,The Simpsons Movie,2007,1,English,Animation,7.3,All
878,Bee Movie,2007,1,English,Animation,6.1,All
879,Shrek,2001,1,English,Animation,7.9,All
880,Shrek 2,2004,1,English,Animation,7.3,All
881,Shrek the Third,2007,1,English,Animation,6.1,All
882,Shrek Forever After,2010,1,English,Animation,6.3,All
883,Kung Fu Panda,2008,1,English,Animation,7.6,All
884,Kung Fu Panda 2,2011,1,English,Animation,7.3,All
885,Kung Fu Panda 3,2016,1,English,Animation,6.1,All
886,How to Train Your Dragon,2010,1,English,Animation,8.1,All
887,How to Train Your Dragon 2,2014,1,English,Animation,7.8,All
888,How to Train Your Dragon: The Hidden World,2019,1,English,Animation,7.5,All
889,Trolls,2016,1,English,Animation,6.5,All
890,Trolls World Tour,2020,1,English,Animation,6.1,All
891,Zootopia,2016,1,English,Animation,8.0,All
892,Frozen,2013,1,English,Animation,7.4,All
893,Frozen II,2019,1,English,Animation,6.8,All
894,Big Hero 6,2014,1,English,Animation,7.8,All
895,Ratatouille,2007,1,English,Animation,8.0,All
896,Wreck-It Ralph,2012,1,English,Animation,7.7,All
897,Ralph Breaks the Internet,2018,1,English,Animation,6.3,All
898,Moana,2016,1,English,Animation,7.6,All
899,Coco,2017,1,English,Animation,8.4,All
900,The Incredibles,2004,1,English,Animation,8.0,All
901,The Incredibles 2,2018,1,English,Animation,7.6,All
902,Despicable Me,2010,1,English,Animation,7.6,All
903,Despicable Me 2,2013,1,English,Animation,7.4,All
904,Despicable Me 3,2017,1,English,Animation,6.3,All
905,Minions,2015,1,English,Animation,6.4,All
906,Minions: The Rise of Gru,2022,1,English,Animation,6.2,All
907,The Lion King,1994,1,English,Animation,8.5,All
908,The Lion King (2019),2019,1,English,Animation,6.9,All
909,Aladdin,1992,1,English,Animation,8.0,All
910,Aladdin (2019),2019,1,English,Animation,6.9,All
911,Bambi,1942,1,English,Animation,7.3,All
912,Beauty and the Beast,1991,1,English,Animation,8.0,All
913,The Little Mermaid,1989,1,English,Animation,7.6,All
914,101 Dalmatians,1961,1,English,Animation,7.3,All
915,Peter Pan,1953,1,English,Animation,7.3,All
916,Pinocchio,1940,1,English,Animation,7.9,All
917,Dumbo,1941,1,English,Animation,6.9,All
918,Cinderella,1950,1,English,Animation,7.3,All
919,Snow White and the Seven Dwarfs,1937,1,English,Animation,7.6,All
920,Bambi,1942,1,English,Animation,7.3,All
921,Tangled,2010,1,English,Animation,7.7,All
922,The Princess and the Frog,2009,1,English,Animation,7.1,All
923,The Sword in the Stone,1963,1,English,Animation,7.2,All
924,Robin Hood,1973,1,English,Animation,7.6,All
925,The Fox and the Hound,1981,1,English,Animation,7.3,All
926,The Rescuers,1977,1,English,Animation,6.9,All
927,The Great Mouse Detective,1986,1,English,Animation,7.2,All
928,Oliver & Company,1988,1,English,Animation,6.7,All
929,Atlantis: The Lost Empire,2001,1,English,Animation,6.9,All
930,Lilo & Stitch,2002,1,English,Animation,7.3,All
931,Meet the Robinsons,2007,1,English,Animation,6.9,All
932,The Emperor's New Groove,2000,1,English,Animation,7.4,All
933,The Hunchback of Notre Dame,1996,1,English,Animation,6.9,All
934,Fantasia,1940,1,English,Animation,7.8,All
935,Fantasia 2000,1999,1,English,Animation,6.9,All
936,The Black Cauldron,1985,1,English,Animation,6.3,All
937,The Jungle Book,1967,1,English,Animation,7.6,All
938,The Jungle Book (2016),2016,1,English,Animation,7.4,All
939,The Aristocats,1970,1,English,Animation,7.0,All
940,The Many Adventures of Winnie the Pooh,1977,1,English,Animation,7.6,All
941,The Rescuers Down Under,1990,1,English,Animation,6.9,All
942,The Secret of Kells,2009,1,English,Animation,7.6,All
943,The Triplets of Belleville,2003,1,French,Animation,7.8,All
944,Coraline,2009,1,English,Animation,7.7,All
945,ParaNorman,2012,1,English,Animation,7.0,All
946,Frankenweenie,2012,1,English,Animation,6.9,All
947,The Boxtrolls,2014,1,English,Animation,6.8,All
948,The Nightmare Before Christmas,1993,1,English,Animation,8.0,All
949,James and the Giant Peach,1996,1,English,Animation,6.9,All
950,The Lego Ninjago Movie,2017,1,English,Animation,6.0,All
951,The Lego Movie 2: The Second Part,2019,1,English,Animation,6.6,All
952,Spider-Man: Into the Spider-Verse,2018,1,English,Animation,8.4,All
953,The Willoughbys,2020,1,English,Animation,6.4,All
954,Hotel Transylvania,2012,1,English,Animation,6.9,All
955,Hotel Transylvania 2,2015,1,English,Animation,6.7,All
956,Hotel Transylvania 3: Summer Vacation,2018,1,English,Animation,6.3,All
957,Minions and More 1,2020,1,English,Animation,6.2,All
958,Tom and Jerry: The Movie,2021,1,English,Animation,5.2,All
959,Scoob!,2020,1,English,Animation,5.7,All
960,The SpongeBob SquarePants Movie,2004,1,English,Animation,7.0,All
961,Sponge on the Run,2020,1,English,Animation,5.7,All
962,Rugrats in Paris: The Movie,2000,1,English,Animation,6.0,All
963,The Croods,2013,1,English,Animation,7.0,All
964,The Croods: A New Age,2020,1,English,Animation,6.8,All
965,Ice Age,2002,1,English,Animation,6.9,All
966,Ice Age: The Meltdown,2006,1,English,Animation,6.8,All
967,Ice Age: Dawn of the Dinosaurs,2009,1,English,Animation,6.9,All
968,Ice Age: Continental Drift,2012,1,English,Animation,6.5,All
969,Ice Age: Collision Course,2016,1,English,Animation,5.7,All
970,Cloudy with a Chance of Meatballs,2009,1,English,Animation,6.9,All
971,Cloudy with a Chance of Meatballs 2,2013,1,English,Animation,6.3,All
972,Ferdinand,2017,1,English,Animation,6.7,All
973,Arthur and the Invisibles,2006,1,English,Animation,6.0,All
974,Storks,2016,1,English,Animation,6.8,All
975,The Angry Birds Movie,2016,1,English,Animation,6.3,All
976,The Angry Birds Movie 2,2019,1,English,Animation,6.4,All
977,Despicable Me 4,2024,1,English,Animation,6.5,All
978,The Lego Movie,2014,1,English,Animation,7.7,All
979,The Lego Movie 2: The Second Part,2019,1,English,Animation,6.6,All
980,The Lego Ninjago Movie,2017,1,English,Animation,6.0,All
981,Atlantis: The Lost Empire,2001,1,English,Animation,6.9,All
982,Shrek,2001,1,English,Animation,7.9,All
983,Shrek 2,2004,1,English,Animation,7.3,All
984,Shrek Forever After,2010,1,English,Animation,6.3,All
985,Tangled,2010,1,English,Animation,7.7,All
986,Moana,2016,1,English,Animation,7.6,All
987,The Princess and the Frog,2009,1,English,Animation,7.1,All
988,Pinocchio,1940,1,English,Animation,7.9,All
989,101 Dalmatians,1961,1,English,Animation,7.3,All
990,Snow White and the Seven Dwarfs,1937,1,English,Animation,7.6,All
991,Peter Pan,1953,1,English,Animation,7.3,All
992,Cinderella,1950,1,English,Animation,7.3,All
993,The Fox and the Hound,1981,1,English,Animation,7.3,All
994,The Rescuers Down Under,1990,1,English,Animation,6.9,All
995,The Secret of Kells,2009,1,English,Animation,7.6,All
996,The Triplets of Belleville,2003,1,French,Animation,7.8,All
997,Coraline,2009,1,English,Animation,7.7,All
998,ParaNorman,2012,1,English,Animation,7.0,All
999,Frankenweenie,2012,1,English,Animation,6.9,All
1000,The Boxtrolls,2014,1,English,Animation,6.8,All
1001,Naruto,2002,1,Japanese,Anime,8.3,13+
1002,Naruto Shippuden,2007,1,Japanese,Anime,8.6,13+
1003,Attack on Titan,2013,1,Japanese,Anime,8.8,16+
1004,One Piece,1999,1,Japanese,Anime,8.6,13+
1005,Dragon Ball Z,1989,1,Japanese,Anime,8.7,13+
1006,Dragon Ball Super,2015,1,Japanese,Anime,7.8,13+
1007,My Hero Academia,2016,1,Japanese,Anime,8.4,13+
1008,Demon Slayer: Kimetsu no Yaiba,2019,1,Japanese,Anime,8.7,13+
1009,Fullmetal Alchemist: Brotherhood,2009,1,Japanese,Anime,9.2,13+
1010,Tokyo Ghoul,2014,1,Japanese,Anime,7.9,16+
1011,Death Note,2006,1,Japanese,Anime,8.6,16+
1012,One Punch Man,2015,1,Japanese,Anime,8.8,13+
1013,Attack on Titan: The Final Season,2020,1,Japanese,Anime,9.1,16+
1014,The Seven Deadly Sins,2014,1,Japanese,Anime,7.9,13+
1015,JoJo's Bizarre Adventure,2012,1,Japanese,Anime,8.6,13+
1016,Neon Genesis Evangelion,1995,1,Japanese,Anime,8.5,13+
1017,Your Name,2016,1,Japanese,Anime,8.4,All
1018,Re:Zero - Starting Life in Another World,2016,1,Japanese,Anime,8.3,16+
1019,Code Geass: Lelouch of the Rebellion,2006,1,Japanese,Anime,8.7,16+
1020,Steins;Gate,2011,1,Japanese,Anime,8.8,16+
1021,Inuyasha,2000,1,Japanese,Anime,7.9,13+
1022,The Promised Neverland,2019,1,Japanese,Anime,8.0,13+
1023,Black Clover,2017,1,Japanese,Anime,7.9,13+
1024,Food Wars!,2015,1,Japanese,Anime,8.0,13+
1025,Fairy Tail,2009,1,Japanese,Anime,7.8,13+
1026,Haikyuu!!,2014,1,Japanese,Anime,8.6,13+
1027,Mob Psycho 100,2016,1,Japanese,Anime,8.5,13+
1028,Great Pretender,2020,1,Japanese,Anime,8.1,13+
1029,Beastars,2019,1,Japanese,Anime,8.0,13+
1030,Akame ga Kill!,2014,1,Japanese,Anime,7.8,16+
1031,Angel Beats!,2010,1,Japanese,Anime,8.0,13+
1032,Black Lagoon,2006,1,Japanese,Anime,8.0,16+
1033,Hunter x Hunter,2011,1,Japanese,Anime,8.9,13+
1034,Trigun,1998,1,Japanese,Anime,8.2,13+
1035,Attack on Titan: No Regrets,2014,1,Japanese,Anime,8.1,16+
1036,Tokyo Revengers,2021,1,Japanese,Anime,7.8,13+
1037,Psycho-Pass,2012,1,Japanese,Anime,8.2,16+
1038,Naruto: Shippuden Movie 3,2009,1,Japanese,Anime,7.3,13+
1039,The Devil Is a Part-Timer!,2013,1,Japanese,Anime,7.9,13+
1040,Blue Exorcist,2011,1,Japanese,Anime,7.7,13+
1041,Overlord,2015,1,Japanese,Anime,8.0,13+
1042,Mob Psycho 100 II,2019,1,Japanese,Anime,8.8,13+
1043,Trinity Seven,2014,1,Japanese,Anime,7.5,16+
1044,No Game No Life,2014,1,Japanese,Anime,8.0,13+
1045,The Rising of the Shield Hero,2019,1,Japanese,Anime,8.0,13+
1046,Clannad,2007,1,Japanese,Anime,8.2,13+
1047,Clannad: After Story,2008,1,Japanese,Anime,8.8,13+
1048,The Ancient Magus' Bride,2017,1,Japanese,Anime,8.1,16+
1049,Promare,2019,1,Japanese,Anime,7.7,13+
1050,Beelzebub,2011,1,Japanese,Anime,7.5,13+
1051,Death Parade,2015,1,Japanese,Anime,8.0,16+
1052,March Comes in Like a Lion,2016,1,Japanese,Anime,8.5,13+
1053,Little Witch Academia,2017,1,Japanese,Anime,7.9,13+
1054,The Rising of the Shield Hero,2019,1,Japanese,Anime,8.0,13+
1055,Attack on Titan: Junior High,2015,1,Japanese,Anime,6.8,13+
1056,The Quintessential Quintuplets,2019,1,Japanese,Anime,7.9,13+
1057,Attack on Titan: Lost Girls,2017,1,Japanese,Anime,7.6,13+
1058,Beelzebub,2011,1,Japanese,Anime,7.5,13+
1059,JoJo's Bizarre Adventure: Stardust Crusaders,2014,1,Japanese,Anime,8.6,13+
1060,Monogatari Series,2009,1,Japanese,Anime,8.2,13+
1061,The Irregular at Magic High School,2014,1,Japanese,Anime,7.8,13+
1062,Attack on Titan: The Final Season Part 2,2022,1,Japanese,Anime,9.1,16+
1063,Little Witch Academia,2017,1,Japanese,Anime,7.9,13+
1064,Tokyo Ghoul:re,2018,1,Japanese,Anime,7.5,16+
1065,Beastars,2019,1,Japanese,Anime,8.0,13+
1066,Haikyuu!!: To the Top,2020,1,Japanese,Anime,8.3,13+
1067,The Promised Neverland 2,2021,1,Japanese,Anime,7.2,13+
1068,Puella Magi Madoka Magica,2011,1,Japanese,Anime,8.4,13+
1069,Neon Genesis Evangelion: The End of Evangelion,1997,1,Japanese,Anime,8.5,13+
1070,Attack on Titan: Season 2,2017,1,Japanese,Anime,8.6,16+
1071,Attack on Titan: Season 3,2018,1,Japanese,Anime,8.7,16+
1072,Great Pretender,2020,1,Japanese,Anime,8.1,13+
1073,The Rising of the Shield Hero,2019,1,Japanese,Anime,8.0,13+
1074,No Game No Life,2014,1,Japanese,Anime,8.0,13+
1075,Black Clover: Sword of the Wizard King,2023,1,Japanese,Anime,7.5,13+
1076,Assassination Classroom,2015,1,Japanese,Anime,8.4,13+
1077,Erased,2016,1,Japanese,Anime,8.5,13+
1078,March Comes in Like a Lion,2016,1,Japanese,Anime,8.5,13+
1079,Fruits Basket,2019,1,Japanese,Anime,8.7,13+
1080,Hellsing,2001,1,Japanese,Anime,8.2,16+
1081,High School DxD,2012,1,Japanese,Anime,7.6,16+
1082,Black Lagoon,2006,1,Japanese,Anime,8.0,16+
1083,Trigun,1998,1,Japanese,Anime,8.2,13+
1084,Your Lie in April,2014,1,Japanese,Anime,8.6,13+
1085,Angel Beats!,2010,1,Japanese,Anime,8.0,13+
1086,The Ancient Magus' Bride,2017,1,Japanese,Anime,8.1,16+
1087,Log Horizon,2013,1,Japanese,Anime,7.8,13+
1088,Overlord II,2018,1,Japanese,Anime,8.0,13+
1089,Beastars 2,2021,1,Japanese,Anime,8.0,13+
1090,The Great Pretender,2020,1,Japanese,Anime,8.1,13+
1091,Food Wars! The Fourth Plate,2019,1,Japanese,Anime,8.0,13+
1092,Dr. Stone,2019,1,Japanese,Anime,8.3,13+
1093,Beelzebub,2011,1,Japanese,Anime,7.5,13+
1094,Kaguya-sama: Love Is War,2019,1,Japanese,Anime,8.7,13+
1095,One Punch Man 2,2019,1,Japanese,Anime,7.7,13+
1096,Sword Art Online,2012,1,Japanese,Anime,7.6,13+
1097,The Irregular at Magic High School,2014,1,Japanese,Anime,7.8,13+
1098,Re:Zero - Starting Life in Another World 2,2020,1,Japanese,Anime,8.3,16+
1099,JoJo's Bizarre Adventure: Diamond Is Unbreakable,2016,1,Japanese,Anime,8.6,13+
1100,Spice and Wolf,2008,1,Japanese,Anime,8.0,13+
1132,AAAnomali,2008,1,Japanese,Anime,8.0,13+
1133,HSHIWolf,2008,1,Japanese,Anime,8.0,13+
1132,AAAnomali,2008,1,Japanese,Anime,8.0,13+